"Date_of_Latest_Change","Last_version_of_Change","Current_CAH_Code","Current_CAH_Label","CAH_Code_Currently_Rescinded?","Previous_CAH_Label","EffectiveFromDate","Version_Number"
"2019-06-05","1.3","02-01","nursing","Yes","nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-01","nursing (non- specific)","Yes","nursing (non- specific)","2018-11-15","1.2"
"2019-06-05","1.3","02-01-02","adult nursing","Yes","adult nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-03","community nursing","Yes","community nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-04","midwifery","Yes","midwifery","2018-11-15","1.2"
"2019-06-05","1.3","02-01-05","children's nursing","Yes","children's nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-06","dental nursing","Yes","dental nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-07","mental health nursing","Yes","mental health nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-08","learning disabilities nursing","Yes","learning disabilities nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-01-09","others in nursing","Yes","others in nursing","2018-11-15","1.2"
"2019-06-05","1.3","02-03","subjects allied to medicine not otherwise specified","Yes","subjects allied to medicine not otherwise specified","2018-11-15","1.2"
"2019-06-05","1.3","02-03-01","health sciences (non-specific)","Yes","health sciences (non-specific)","2018-11-15","1.2"
"2019-06-05","1.3","02-03-02","nutrition and dietetics","Yes","nutrition and dietetics","2018-11-15","1.2"
"2019-06-05","1.3","02-03-03","ophthalmics","Yes","ophthalmics","2018-11-15","1.2"
"2019-06-05","1.3","02-03-04","environmental and public health","Yes","environmental and public health","2018-11-15","1.2"
"2019-06-05","1.3","02-03-05","physiotherapy","Yes","physiotherapy","2018-11-15","1.2"
"2019-06-05","1.3","02-03-06","complementary and alternative medicine","Yes","complementary and alternative medicine","2018-11-15","1.2"
"2019-06-05","1.3","02-03-07","medical technology","Yes","medical technology","2018-11-15","1.2"
"2019-06-05","1.3","02-03-08","counselling, psychotherapy and occupational therapy","Yes","counselling, psychotherapy and occupational therapy","2018-11-15","1.2"
"2019-06-05","1.3","02-03-09","healthcare science (non-specific)","Yes","healthcare science (non-specific)","2018-11-15","1.2"
