HECoS_Code,HECoS_Label,CAH3_Code,CAH3_Label,CAH2_Code,CAH2_Label,CAH1_Code,CAH1_Label
100003,ceramics,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100005,clinical engineering,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100033,metallurgy,10-03-02,materials technology,10-03,materials and technology,10,engineering and technology
100035,musical theatre,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100036,optometry,02-06-03,ophthalmics,02-06,allied health,02,subjects allied to medicine
100037,orthoptics,02-06-03,ophthalmics,02-06,allied health,02,subjects allied to medicine
100038,pathobiology,02-05-04,"anatomy, physiology and pathology",02-05,medical sciences,02,subjects allied to medicine
100046,creative writing,19-01-05,creative writing,19-01,English studies,19,language and area studies
100048,design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100050,product design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100051,textile design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100052,ergonomics,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100054,fashion,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100055,fashion design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100057,animation,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100058,film studies,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100059,fine art,25-01-02,art,25-01,creative arts and design,25,"design, and creative and performing arts"
100060,graphic arts,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100061,graphic design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100062,illustration,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100063,photography,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100065,liberal arts,23-01-04,liberal arts (non-specific),23-01,combined and general studies,23,combined and general studies
100067,acting,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100068,dance,25-02-04,dance,25-02,performing arts,25,"design, and creative and performing arts"
