LDCS,LDCS_name,JACS,JACS specific title,CAH1 code,CAH1 name,CAH2 code,CAH2 name,CAH3 code,CAH3 name
A,BUSINESS / MANAGEMENT / OFFICE STUDIES,N900,Others in business & administrative studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AA.,BUSINESS / FINANCE,N900,Others in business & administrative studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AA.1,business world,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AA.12,international trade (overview),N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AA.3,business studies,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AA.31,MBA,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AA.4,business and finance,N900,Others in business & administrative studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AB.,MANAGEMENT (GENERAL),N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.1,management studies / science,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.2,administrative management,N700,Office skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AB.21,chartered secretaries,N220,Institutional management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.22,management services,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.3,company directorship,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.4,business consultancy practice,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.5,business counselling,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.6,entrepreneurship,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.7,industrial management,N290,Management studies not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.8,non profit organisations: management,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.84,charities: management,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.85,church / religious bodies: management,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AB.88,voluntary organisations: management,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
